Committee,Type,Reporting Period,Report Type,Date Paid,Entity Name,First Name,Middle Initial,Last Name,Addr Line1,City,State,Zip,Zip4,Amount,Country,Occupation,Employer,Contribution Type,Amount Type,Purpose,Total To Date,Refund Transaction Type,Refund Original Transaction Date,Refund Original Transaction Total,Refund Original Transaction Descr,Previous Transaction (Y/N),Fundraiser Name,Fundraiser Location,Fundraiser Attendees,Fundraiser Tickets Sold,Election Type,Total Primary,Total General,type,Expenditure Type,Candidate Issue,Expenditure Platform,Expenditure Quantity,Expenditure Specific Services,Attachment,# of Donors - Individuals,Total $ - Individual,# of Donors - Committees,Total $ - Committee,Expenditure Paid Communications Platform,Expenditure Paid Communications Quantity,Expenditure Paid Communications Subject Matter
Carbon County Democratic Central Committee,expenditure,04/26/2026 to 05/25/2026,C6,2026-05-06 00:00:00,Zoom,,,,55 Almaden Blvd. Ste 600,San Jose,CA,95113.0,,-35.25,,,,,,conference calling/online meeting month charge,,,,,,,,,,,GN,,,,2,,internet,monthly for May,conference calling/online meeting month charge,N,,,,,,,
Carbon County Democratic Central Committee,expenditure,04/26/2026 to 05/25/2026,C6,2026-05-01 00:00:00,Google LLC,,,,1600 Amphitheatre Pky,Mountain View,CA,94043.0,,-35.0,,,,,,email and website services,,,,,,,,,,,GN,,,,2,,internet,monthly,email and website services,N,,,,,,,
Carbon County Democratic Central Committee,expenditure,04/26/2026 to 05/25/2026,C6,2026-05-25 00:00:00,United States Flag Store (Online Store) ,,,,"1000 Westinghouse Drive, Suite 1",New Stanton ,PA,15672.0,,-52.14,,,,,,miniature democrat flags for parade swag,,,,,,,,,,,GN,,,,2,,internet,617 ,miniature democrat flags for parade swag,N,,,,,,,
Carbon County Democratic Central Committee,expenditure,04/26/2026 to 05/25/2026,C6,2026-05-13 00:00:00,Red Lodge Sr Center,,,,207 Villard Ave S,Red Lodge,MT,59068.0,,-100.0,,,,,,room rental fee for May 6 meeting,,,,,,,,,,,GN,,,,2,,,1 meeting,room rental fee for May 6 meeting,N,,,,,,,
Carbon County Democratic Central Committee,expenditure,04/26/2026 to 05/25/2026,C6,2026-05-20 00:00:00,Albertson's Grocery Store,,,,205 1st Ave,Laurel,MT,59044.0,,-227.91,,,,,,deli trays and flowers for general meeting 5/6/26 Emily Marburger speaker,,,,,,,,,,,GN,,,,2,,,"3 deli trays, crackers and flowers",deli trays and flowers for general meeting 5/6/26 Emily Marburger speaker,N,,,,,,,
Carbon County Democratic Central Committee,expenditure,04/26/2026 to 05/25/2026,C6,2026-05-25 00:00:00,Act Blue,,,,PO Box 441146,Sommerville,MA,2144.0,,-1.9000000000000001,,,,,,MEMBERSHIP PROCESSING FEES FOR ACT BLUE,,,,,,,,,,,GN,,,,2,,act blue,5,membership processing fees for Act Blue,N,,,,,,,
Carbon County Democratic Central Committee,expenditure,04/26/2026 to 05/25/2026,C6,2026-05-25 00:00:00,Stripe,,,,354 Oyster Point Blvd,South San Francisco,CA,94080.0,,-3.12,,,,,,Credit card processing fees,,,,,,,,,,,GN,,,,2,,INTERNET,4,CREDIT CARD PROCESSING FEES,N,,,,,,,
Carbon County Democratic Central Committee,expenditure,03/26/2026 to 04/25/2026,C6,2026-04-25 00:00:00,Act Blue,,,,PO Box 441146,Sommerville,MA,2144.0,,-3.78,,,,,,membership processing fee,,,,,,,,,,,GN,,,,2,,Act blue,7 memberships,payment processing ,N,,,,,,,
Carbon County Democratic Central Committee,expenditure,03/26/2026 to 04/25/2026,C6,2026-04-01 00:00:00,Google LLC,,,,1600 Amphitheatre Pky,Mountain View,CA,94043.0,,-35.0,,,,,,Email Service,,,,,,,,,,,GN,,,,2,,,1 month,email ,N,,,,,,,
Carbon County Democratic Central Committee,expenditure,03/26/2026 to 04/25/2026,C6,2026-04-06 00:00:00,Zoom,,,,55 Almaden Blvd. Ste 600,San Jose,CA,95113.0,,-35.25,,,,,,Conference Calls w/ Board of Directors,,,,,,,,,,,GN,,,,2,,internet,1 month,online meetings ,N,,,,,,,
