Committee,Type,Reporting Period,Report Type,Date Paid,Entity Name,First Name,Middle Initial,Last Name,Addr Line1,City,State,Zip,Zip4,Amount,Country,Occupation,Employer,Contribution Type,Amount Type,Purpose,Total To Date,Refund Transaction Type,Refund Original Transaction Date,Refund Original Transaction Total,Refund Original Transaction Descr,Previous Transaction (Y/N),Fundraiser Name,Fundraiser Location,Fundraiser Attendees,Fundraiser Tickets Sold,Election Type,Total Primary,Total General,type,Expenditure Type,Candidate Issue,Expenditure Platform,Expenditure Quantity,Expenditure Specific Services,Attachment,# of Donors - Individuals,Total $ - Individual,# of Donors - Committees,Total $ - Committee,Expenditure Paid Communications Platform,Expenditure Paid Communications Quantity,Expenditure Paid Communications Subject Matter
Lewis and Clark County Democratic Central Committee 2021 onward,expenditure,03/26/2026 to 04/25/2026,C6,2026-04-12 00:00:00,Montana Playwrights Network,,,,1319 Helena Ave,Helena,MT,59601.0,,-475.0,,,,,,Facility rental fee for 4/12/2026 Dem primary debates,,,,,,,,,,,GN,,,,2.0,,,1 day rental,Facility rental fee for 4/12/2026 Dem primary debates,N,,,,,,,
Lewis and Clark County Democratic Central Committee 2021 onward,expenditure,03/26/2026 to 04/25/2026,C6,2026-03-27 00:00:00,MailChimp,,,,405 N Angier Ave,Atlanta,GA,30308.0,,-100.0,,,,,,Email Service Charge,,,,,,,,,,,GN,,,,2.0,,Mailchimp,1 month,1 month email service fee,N,,,,,,,
Lewis and Clark County Democratic Central Committee 2021 onward,expenditure,03/26/2026 to 04/25/2026,C6,2026-04-25 00:00:00,ActBlue,,,,366 Summer St,Sommerville,MA,2144.0,,-61.76,,,,,,ActBlue fees,,,,,,,,,,,GN,,,,2.0,,ActBlue,40 donations,Act Blue fees for 40 donations (3/26/2026 - 4/25/2026),N,,,,,,,
Lewis and Clark County Democratic Central Committee 2021 onward,expenditure,03/26/2026 to 04/25/2026,C6,2026-03-31 00:00:00,Intrepid Credit Union,,,Intrepid Credit Union,915 Kessler St,Helena,MT,59601.0,,-2.5,,,,,,Bank service charge,,,,,,,,,,,GN,,,,2.0,,,1 month,Monthly service fee,N,,,,,,,
Lewis and Clark County Democratic Central Committee 2021 onward,expenditure,01/01/2026 to 03/25/2026,C6,2026-02-28 00:00:00,Intrepid Credit Union,,,Intrepid Credit Union,1930 Prospect Ave,Helena,MT,59601.0,,-2.5,,,,,,Bank service charge,,,,,,,,,,,GN,,,,2.0,,,1 Month,Banking service fee,N,,,,,,,
Lewis and Clark County Democratic Central Committee 2021 onward,expenditure,01/01/2026 to 03/25/2026,C6,2026-01-31 00:00:00,Intrepid Credit Union,,,Intrepid Credit Union,1930 Prospect Ave,Helena,MT,59601.0,,-2.5,,,,,,Bank service charge,,,,,,,,,,,GN,,,,2.0,,,1 Month,Banking services fee,N,,,,,,,
Lewis and Clark County Democratic Central Committee 2021 onward,expenditure,01/01/2026 to 03/25/2026,C6,2026-02-17 00:00:00,Montana Medical Association,,,,2021 11th Ave,Helena,MT,59601.0,,-75.0,,,,,,Meeting Room Rental Expense,,,,,,,,,,,GN,,,,2.0,,,3 Months,Meeting room rental for 3 months ($25 per use),N,,,,,,,
Lewis and Clark County Democratic Central Committee 2021 onward,expenditure,01/01/2026 to 03/25/2026,C6,2026-02-27 00:00:00,MAILCHIMP,,,,Email Services (1 Month),Atlanta,GA,30308.0,,-100.0,,,,,,Email services,,,,,,,,,,,GN,,,,2.0,,Mailchimp,1 Month,Email Services (1 Month),N,,,,,,,
Lewis and Clark County Democratic Central Committee 2021 onward,expenditure,01/01/2026 to 03/25/2026,C6,2026-01-27 00:00:00,MAILCHIMP,,,,405 N Angier Ave NE,Atlanta,GA,30308.0,,-100.0,,,,,,Email services,,,,,,,,,,,GN,,,,2.0,,Mail Chimp,1 month,Email Services (1 Month),N,,,,,,,
Lewis and Clark County Democratic Central Committee 2021 onward,expenditure,01/01/2026 to 03/25/2026,C6,2026-02-04 00:00:00,Montana Democratic Party,,,,303 N Ewing ST,Helena,MT,59601.0,,-250.0,,,,,,Sponsorship for Democratic Heroes Dinner,,,,,,,,,,,GN,,,,2.0,,,Bronze Sponsorship,Bronze Sponsorship for Democratic Heroes Dinner,N,,,,,,,
