Committee,Type,Reporting Period,Report Type,Date Paid,Entity Name,First Name,Middle Initial,Last Name,Addr Line1,City,State,Zip,Zip4,Amount,Country,Occupation,Employer,Contribution Type,Amount Type,Purpose,Total To Date,Refund Transaction Type,Refund Original Transaction Date,Refund Original Transaction Total,Refund Original Transaction Descr,Previous Transaction (Y/N),Fundraiser Name,Fundraiser Location,Fundraiser Attendees,Fundraiser Tickets Sold,Election Type,Total Primary,Total General,type,Expenditure Type,Candidate Issue,Expenditure Platform,Expenditure Quantity,Expenditure Specific Services,Attachment,# of Donors - Individuals,Total $ - Individual,# of Donors - Committees,Total $ - Committee,Expenditure Paid Communications Platform,Expenditure Paid Communications Quantity,Expenditure Paid Communications Subject Matter
Missoula County Republican Central Committee,expenditure,03/26/2026 to 04/25/2026,C6,2026-04-02 00:00:00,Google,,,,1600 Amphitheatre Pkwy,Mountain View,CA,94043.0,,-67.2,,,,,,Monthly Charge for email address,,,,,,,,,,,PM,,,,3,,Google,,,N,,,,,,,
Missoula County Republican Central Committee,expenditure,03/26/2026 to 04/25/2026,C6,2026-04-07 00:00:00,Fervid Digital,,,,2120 South Reserve Street#1087,Missoula,MT,59801.0,,-300.0,,,,,,Digital consulting Fees for April - May - June,,,,,,,,,,,PM,,,,3,,,,"Creating Digital advertising, Maintaining Website and posting newsletter",N,,,,,,,
Missoula County Republican Central Committee,expenditure,03/26/2026 to 04/25/2026,C6,2026-03-31 00:00:00,Google,,,,1600 Amphitheatre Parkway,Mountain View,CA,94043.0,,-11.17,,,,,,Google Voice starter License Usage,,,,,,,,,,,PM,,,,3,,Google,,,N,,,,,,,
Missoula County Republican Central Committee,expenditure,03/26/2026 to 04/25/2026,C6,2026-03-27 00:00:00,Meta,,,,1 Meta Way,Menlo Park,CA,94025.0,,-29.33,,,,,,MCRCC Newsletter impressions,,,,,,,,,,,PM,,,,3,,Facebook,,,N,,,,,,,
Missoula County Republican Central Committee,expenditure,03/26/2026 to 04/25/2026,C6,2026-04-01 00:00:00,"St. Anthony,s Parish",,,,217 Tremont,Missoula,MT,59801.0,,-225.0,,,,,,Donation to church for meeting space,,,,,,,,,,,PM,,,,3,,,,,N,,,,,,,
Missoula County Republican Central Committee,expenditure,03/26/2026 to 04/25/2026,C6,2026-04-22 00:00:00,Townsquare Media - KGVO,,,,3250 South Reserve St Suite 20,Missoula,MT,59801.0,,-185.4,,,,,,Radio Advertising - KGVO,,,,,,,,,,,PM,,,,3,,,,Promoting MCRCC to the public,N,,,,,,,
Missoula County Republican Central Committee,expenditure,03/26/2026 to 04/25/2026,C6,2026-04-20 00:00:00,Meta,,,,1 Meta Way,Menlo Park,CA,94025.0,,-50.0,,,,,,4394 Impressions on FB  April 5 thru April 18,,,,,,,,,,,PM,,,,3,,Facebookj,,,N,,,,,,,
Missoula County Republican Central Committee,expenditure,03/26/2026 to 04/25/2026,C6,2026-04-06 00:00:00,Meta,,,,1 Meta Way,Menlo Park,CA,94025.0,,-33.0,,,,,,2756 Impressions on Facebook,,,,,,,,,,,PM,,,,3,,Facebook,,,N,,,,,,,
Missoula County Republican Central Committee,expenditure,01/01/2026 to 03/25/2026,C6,2026-03-02 00:00:00,Google LLC,,,, 1600 Amphitheatre Parkway,Mountain View,CA,94043.0,,-67.2,,,,,,MONTHLY CHARGE - EMAIL ADDRESSES,,,,,,,,,,,PM,,,,2,,,,,N,,,,,,,
Missoula County Republican Central Committee,expenditure,01/01/2026 to 03/25/2026,C6,2026-02-02 00:00:00,Google LLC,,,, 1600 Amphitheatre Parkway,Mountain View,CA,94043.0,,-67.2,,,,,,MONTHLY CHARGE - EMAIL ADDRESSES,,,,,,,,,,,PM,,,,2,,,,,N,,,,,,,
