Committee,Type,Reporting Period,Report Type,Date Paid,Entity Name,First Name,Middle Initial,Last Name,Addr Line1,City,State,Zip,Zip4,Amount,Country,Occupation,Employer,Contribution Type,Amount Type,Purpose,Total To Date,Refund Transaction Type,Refund Original Transaction Date,Refund Original Transaction Total,Refund Original Transaction Descr,Previous Transaction (Y/N),Fundraiser Name,Fundraiser Location,Fundraiser Attendees,Fundraiser Tickets Sold,Election Type,Total Primary,Total General,type,Expenditure Type,Candidate Issue,Expenditure Platform,Expenditure Quantity,Expenditure Specific Services,Attachment,# of Donors - Individuals,Total $ - Individual,# of Donors - Committees,Total $ - Committee,Expenditure Paid Communications Platform,Expenditure Paid Communications Quantity,Expenditure Paid Communications Subject Matter
Montanans Decide,expenditure,03/26/2026 to 04/25/2026,C6,2026-04-02 00:00:00,Advanced Micro Targeting,,,,"5757 Alpha Rd, Ste 501",Dallas,TX,75240.0,,-234500.0,,,,,,Paid Signature Gatherers,,,,,,,,,,,GN,,,,2.0,,,,,N,,,,,,,
Montanans Decide,expenditure,03/26/2026 to 04/25/2026,C6,2026-04-02 00:00:00,First Interstate,,,First Interstate,25 E Lyndale,Helena,MT,59601.0,,-30.0,,,,,,Wire transfer fee,,,,,,,,,,,GN,,,,2.0,,,,,N,,,,,,,
Montanans Decide,expenditure,03/26/2026 to 04/25/2026,C6,2026-04-09 00:00:00,USPS,,,,500 N Last Chance Gulch,Helena,MT,59601.0,,-46.8,,,,,,Stamps for postage-pre paid return envelopes for petition submissions to county election offices,,,,,,,,,,,GN,,,,2.0,,,,,N,,,,,,,
Montanans Decide,expenditure,03/26/2026 to 04/25/2026,C6,2026-04-23 00:00:00,Fireweed Campaigns,,,,PO Box 87,Helena,MT,59624.0,,-6250.0,,,,,,"Project Management (April 1-15, 2026)",,,,,,,,,,,GN,,,,2.0,,,,,N,,,,,,,
Montanans Decide,expenditure,03/26/2026 to 04/25/2026,C6,2026-04-09 00:00:00,Squarespace,,,,225 Varick St.,New York,NY,10014.0,,-6.16,,,,,,Google Apps Subscription (additional account added),,,,,,,,,,,GN,,,,2.0,,,,,N,,,,,,,
Montanans Decide,expenditure,03/26/2026 to 04/25/2026,C6,2026-04-03 00:00:00,Squarespace,,,,225 Varick St.,New York,NY,10014.0,,-36.0,,,,,,Website Subscription (April 2026),,,,,,,,,,,GN,,,,2.0,,,,,N,,,,,,,
Montanans Decide,expenditure,03/26/2026 to 04/25/2026,C6,2026-04-01 00:00:00,Squarespace,,,,225 Varick St.,New York,NY,10014.0,,-8.4,,,,,,Google Workspace monthly subscription (April 2026),,,,,,,,,,,GN,,,,2.0,,,,,N,,,,,,,
Montanans Decide,expenditure,03/26/2026 to 04/25/2026,C6,2026-04-02 00:00:00,First Interstate,,,First Interstate,25 E Lyndale,Helena,MT,59601.0,,-30.0,,,,,,Wire transfer fee,,,,,,,,,,,GN,,,,2.0,,,,,N,,,,,,,
Montanans Decide,expenditure,03/26/2026 to 04/25/2026,C6,2026-04-01 00:00:00,First Interstate,,,First Interstate,25 E Lyndale,Helena,MT,59601.0,,-10.0,,,,,,Wire transfer fee,,,,,,,,,,,GN,,,,2.0,,,,,N,,,,,,,
Montanans Decide,expenditure,03/26/2026 to 04/25/2026,C6,2026-04-25 00:00:00,Democracy Engine,,,,2125 14th St NW #101W,Washington,DC,20009.0,,-21.4,,,,,,Donation processing fees from 3/26 to 4/25,,,,,,,,,,,GN,,,,2.0,,,,,N,,,,,,,
Montanans Decide,expenditure,03/26/2026 to 04/25/2026,C6,2026-04-13 00:00:00,First Interstate,,,First Interstate,25 E Lyndale,Helena,MT,59601.0,,-30.0,,,,,,Wire transfer fee,,,,,,,,,,,GN,,,,2.0,,,,,N,,,,,,,
Montanans Decide,expenditure,03/26/2026 to 04/25/2026,C6,2026-04-02 00:00:00,eQual Public Benefit Corp.,,,,2021 Fillmore Street #9138,San Francisco,CA,94115.0,,-25000.0,,,,,,Signature Validation,,,,,,,,,,,GN,,,,2.0,,,,,N,,,,,,,
Montanans Decide,expenditure,03/26/2026 to 04/25/2026,C6,2026-04-10 00:00:00,Alphagraphics,,,,40 W Lawrence,Helena,MT,59601.0,,-5475.45,,,,,,"Printing CI-133 petitions (26,400), full text (13,500) & unsworn declarations (14,000)",,,,,,,,,,,GN,,,,2.0,,,,,N,,,,,,,
Montanans Decide,expenditure,03/26/2026 to 04/25/2026,C6,2026-04-13 00:00:00,Advanced Micro Targeting,,,,"5757 Alpha Rd, Ste 501",Dallas,TX,75240.0,,-234500.0,,,,,,Paid Signature Gatherers,,,,,,,,,,,GN,,,,2.0,,,,,N,,,,,,,
Montanans Decide,expenditure,03/26/2026 to 04/25/2026,C6,2026-04-23 00:00:00,Uplift,,,,2140 Shattuck Ave Ste 1101,Berkeley,CA,94704.0,,-318.04,,,,,,"Fundraising text sent 3/26 to 7,775 people",,,,,,,,,,,GN,,,,2.0,,,,,N,,,,,,,
Montanans Decide,expenditure,03/26/2026 to 04/25/2026,C6,2026-04-23 00:00:00,Aspect Strategic,,,,1855 N Gaylord St,Denver,CO,80206.0,,-49000.0,,,,,,Ballot Language Survey (n800),,,,,,,,,,,GN,,,,2.0,,,,,N,,,,,,,
Montanans Decide,expenditure,01/01/2026 to 03/25/2026,C6,2026-03-12 00:00:00,Fireweed Campaigns,,,,PO Box 87,Helena,MT,59624.0,,-12500.0,,,,,,Project Management (February 2026),,,,,,,,,,,GN,,,,2.0,,,,,N,,,,,,,
Montanans Decide,expenditure,01/01/2026 to 03/25/2026,C6,2026-02-23 00:00:00,Squarespace,,,,225 Varick St.,New York,NY,10014.0,,-40.0,,,,,,"Email campaigns monthly subscription: 25,000 emails per month (2/23-3/23)",,,,,,,,,,,GN,,,,2.0,,,,,N,,,,,,,
