Committee,Type,Reporting Period,Report Type,Date Paid,Entity Name,First Name,Middle Initial,Last Name,Addr Line1,City,State,Zip,Zip4,Amount,Country,Occupation,Employer,Contribution Type,Amount Type,Purpose,Total To Date,Refund Transaction Type,Refund Original Transaction Date,Refund Original Transaction Total,Refund Original Transaction Descr,Previous Transaction (Y/N),Fundraiser Name,Fundraiser Location,Fundraiser Attendees,Fundraiser Tickets Sold,Election Type,Total Primary,Total General,type
Montana Federation Of Republican Women,contribution,03/26/2026 to 04/25/2026,C6,2026-03-30 00:00:00,Missoula County Republican Women,,,,6610 Linda Vista,Missoula,MT,59803,,27.5,,,,5,CA,,382.5,,,,,N,,,,,,,,PAC contributions
Montana Federation Of Republican Women,contribution,03/26/2026 to 04/25/2026,C6,2026-04-06 00:00:00,Custer County Republican Women,,,,PO Box 1554,Miles City,MT,59301,,110.0,,,,5,CA,,300.0,,,,,N,,,,,,,,PAC contributions
Montana Federation Of Republican Women,contribution,03/26/2026 to 04/25/2026,C6,2026-04-06 00:00:00,Tri County Republican Women,,,,7045 Viscaya Rd,Helena,MT,59602,,82.5,,,,5,CA,,575.0,,,,,N,,,,,,,,PAC contributions
Montana Federation Of Republican Women,contribution,03/26/2026 to 04/25/2026,C6,2026-04-06 00:00:00,Carbon County Republican Women,,,,27 Gibson Rd,Joliet,MT,59041,,27.5,,,,5,CA,,300.0,,,,,N,,,,,,,,PAC contributions
Montana Federation Of Republican Women,contribution,03/26/2026 to 04/25/2026,C6,2026-03-30 00:00:00,Stillwater Republican Women ,,,,8 Voss Lane,Park City,MT,59063,,357.5,,,,5,CA,,605.0,,,,,N,,,,,,,,PAC contributions
Montana Federation Of Republican Women,contribution,03/26/2026 to 04/25/2026,C6,2026-04-21 00:00:00,Carbon County Republican Women,,,,27 Gibson Rd,Joliet,MT,59041,,27.5,,,,5,CA,,300.0,,,,,N,,,,,,,,PAC contributions
Montana Federation Of Republican Women,contribution,03/26/2026 to 04/25/2026,C6,2026-04-09 00:00:00,Flathead County Republican Women,,,,PO Box 3145,Kalispell,MT,59901,,82.5,,,,5,CA,,165.0,,,,,N,,,,,,,,PAC contributions
Montana Federation Of Republican Women,contribution,03/26/2026 to 04/25/2026,C6,2026-04-14 00:00:00,Prairie CO Republicans,,,,PO Box 317,Terry ,MT,59349,,27.5,,,,5,CA,,327.5,,,,,N,,,,,,,,PAC contributions
Montana Federation Of Republican Women,contribution,03/26/2026 to 04/25/2026,C6,2026-04-20 00:00:00,Lake County Republican Women,,,,PO Box 174,Polson,MT,59864,,220.0,,,,5,CA,,715.0,,,,,N,,,,,,,,PAC contributions
Montana Federation Of Republican Women,contribution,03/26/2026 to 04/25/2026,C6,2026-04-21 00:00:00,Lewis and Clark Republican Women,,,,8473 Green Meadow Drive,Helena,MT,59602,,192.5,,,,5,CA,,192.5,,,,,N,,,,,,,,PAC contributions
