Committee,Type,Reporting Period,Report Type,Date Paid,Entity Name,First Name,Middle Initial,Last Name,Addr Line1,City,State,Zip,Zip4,Amount,Country,Occupation,Employer,Contribution Type,Amount Type,Purpose,Total To Date,Refund Transaction Type,Refund Original Transaction Date,Refund Original Transaction Total,Refund Original Transaction Descr,Previous Transaction (Y/N),Fundraiser Name,Fundraiser Location,Fundraiser Attendees,Fundraiser Tickets Sold,Election Type,Total Primary,Total General,type,Expenditure Type,Candidate Issue,Expenditure Platform,Expenditure Quantity,Expenditure Specific Services,Attachment,# of Donors - Individuals,Total $ - Individual,# of Donors - Committees,Total $ - Committee,Expenditure Paid Communications Platform,Expenditure Paid Communications Quantity,Expenditure Paid Communications Subject Matter,Matched Candidate,Matched District,Matched Party,Matched Race
School Freedom Fund,expenditure,04/26/2026 to 05/24/2026,C6,2026-05-14 00:00:00,Whistlestop Strategies LLC,,,,"100 Coastal Drive, Suite 305",Charleston,SC,29492,,-2974.0,,,,,,Mail production/postage,,,,,,,,,,,PM,,,,3,Oppose George Nikolakakos,Mail,3360,mail production/postage,N,,,,,,,,GEORGE NIKOLAKAKOS,SENATE DISTRICT 12,REP,STATE SENATOR DISTRICT 12
School Freedom Fund,expenditure,04/26/2026 to 05/24/2026,C6,2026-05-14 00:00:00,Whistlestop Strategies LLC,,,,"100 Coastal Drive, Suite 305",Charleston,SC,29492,,-2433.0,,,,,,Mail production/postage,,,,,,,,,,,PM,,,,3,Oppose Curtis Cochran,Mail,2113,mail production/postage,N,,,,,,,,CURTIS J COCHRAN,HOUSE DISTRICT 90,REP,STATE REPRESENTATIVE DISTRICT 90
School Freedom Fund,expenditure,04/26/2026 to 05/24/2026,C6,2026-05-14 00:00:00,Whistlestop Strategies LLC,,,,"100 Coastal Drive, Suite 305",Charleston,SC,29492,,-2385.0,,,,,,Mail production/postage,,,,,,,,,,,PM,,,,3,Oppose Wayne Rusk,Mail,2004,mail production/postage,N,,,,,,,,WAYNE RUSK,HOUSE DISTRICT 86,REP,STATE REPRESENTATIVE DISTRICT 86
School Freedom Fund,expenditure,04/26/2026 to 05/24/2026,C6,2026-04-26 00:00:00,Google,,,,1600 Amphitheatre Parkway,Mountain View,CA,94043,,-2500.0,,,,,,Digital Advertising,,,,,,,,,,,PM,,,,3,Oppose John Fitzpatrick,Google,,Digital advertising,N,,,,,,,,JOHN FITZPATRICK,HOUSE DISTRICT 76,REP,STATE REPRESENTATIVE DISTRICT 76
School Freedom Fund,expenditure,04/26/2026 to 05/24/2026,C6,2026-04-26 00:00:00,Google,,,,1600 Amphitheatre Parkway,Mountain View,CA,94043,,-4000.0,,,,,,Digital Advertising,,,,,,,,,,,PM,,,,3,Oppose Ken Walsh,Google,,digital advertising,N,,,,,,,,KEN WALSH,HOUSE DISTRICT 69,REP,STATE REPRESENTATIVE DISTRICT 69
School Freedom Fund,expenditure,04/26/2026 to 05/24/2026,C6,2026-04-26 00:00:00,Google,,,,1600 Amphitheatre Parkway,Mountain View,CA,94043,,-4806.42,,,,,,Digital Advertising,,,,,,,,,,,PM,,,,3,Oppose Brad Barker,Google,,digital advertising,N,,,,,,,,BRAD BARKER,HOUSE DISTRICT 55,REP,STATE REPRESENTATIVE DISTRICT 55
School Freedom Fund,expenditure,04/26/2026 to 05/24/2026,C6,2026-04-26 00:00:00,Google,,,,1600 Amphitheatre Parkway,Mountain View,CA,94043,,-543.87,,,,,,Digital Advertising,,,,,,,,,,,PM,,,,3,Oppose George Nikolakakos,Google,,digital advertising ,N,,,,,,,,GEORGE NIKOLAKAKOS,SENATE DISTRICT 12,REP,STATE SENATOR DISTRICT 12
School Freedom Fund,expenditure,04/26/2026 to 05/24/2026,C6,2026-05-05 00:00:00,Whistlestop Strategies LLC,,,,100 Coastal Drive,Charleston,SC,29492,,-2337.0,,,,,,Mail production/postage,,,,,,,,,,,PM,,,,3,Support Mike Vinton,Mail,1893,mail production/postage,N,,,,,,,,MIKE VINTON,HOUSE DISTRICT 40,REP,STATE REPRESENTATIVE DISTRICT 40
School Freedom Fund,expenditure,04/26/2026 to 05/24/2026,C6,2026-05-05 00:00:00,Whistlestop Strategies LLC,,,,100 Coastal Drive,Charleston,SC,29492,,-2487.0,,,,,,Mail production/postage,,,,,,,,,,,PM,,,,3,Support Jim Riley,Mail,2468,mail production/postage,N,,,,,,,,JIM RILEY,HOUSE DISTRICT 6,REP,STATE REPRESENTATIVE DISTRICT 6
School Freedom Fund,expenditure,04/26/2026 to 05/24/2026,C6,2026-05-05 00:00:00,Whistlestop Strategies LLC,,,,100 Coastal Drive,Charleston,SC,29492,,-2433.0,,,,,,Mail production/postage,,,,,,,,,,,PM,,,,3,Support Jeff Stanek,mail,2113,mail production/postage,N,,,,,,,,JEFF STANEK,HOUSE DISTRICT 90,REP,STATE REPRESENTATIVE DISTRICT 90
