Committee,Type,Reporting Period,Report Type,Date Paid,Entity Name,First Name,Middle Initial,Last Name,Addr Line1,City,State,Zip,Zip4,Amount,Country,Occupation,Employer,Contribution Type,Amount Type,Purpose,Total To Date,Refund Transaction Type,Refund Original Transaction Date,Refund Original Transaction Total,Refund Original Transaction Descr,Previous Transaction (Y/N),Fundraiser Name,Fundraiser Location,Fundraiser Attendees,Fundraiser Tickets Sold,Election Type,Total Primary,Total General,type,Expenditure Type,Candidate Issue,Expenditure Platform,Expenditure Quantity,Expenditure Specific Services,Attachment,# of Donors - Individuals,Total $ - Individual,# of Donors - Committees,Total $ - Committee,Expenditure Paid Communications Platform,Expenditure Paid Communications Quantity,Expenditure Paid Communications Subject Matter
ACLU of Montana,expenditure,03/26/2026 to 04/25/2026,C4,2026-04-25 00:00:00,Montanans for Nonpartisan Courts,,,,PO Box 87,Helena,MT,59624,,-1839.71,,,,,,In-kind contribution to Montanans for Nonpartisan Courts ballot issue committee,,,,,,,,,,,GN,,,,2,,,,"41.5 hours of staff time (including salary, benefits, and overhead costs) related to management, volunteer coordination, and signature gathering",N,,,,,,,
ACLU of Montana,expenditure,01/01/2026 to 03/25/2026,C4,2026-03-21 00:00:00,Dollar Rent a Car,,,,2401 W Broadway,Missoula,MT,59802,,-76.23,,,,,,In-kind contribution to Montanans for Nonpartisan Courts ballot issue committee,,,,,,,,,,,GN,,,,2,,,,Rental car for staff travel for presentation,N,,,,,,,
ACLU of Montana,expenditure,01/01/2026 to 03/25/2026,C4,2026-03-12 00:00:00,USPS,,,,1100 W Kent Ave,Missoula,MT,59801,,-11.95,,,,,,In-kind contribution to Montanans for Nonpartisan Courts ballot issue committee,,,,,,,,,,,GN,,,,2,,,,Postage for mailing petition signature packets,N,,,,,,,
ACLU of Montana,expenditure,01/01/2026 to 03/25/2026,C4,2026-03-25 00:00:00,Montanans for Nonpartisan Courts,,,,PO Box 87,Helena,MT,59624,,-5065.87,,,,,,In-kind contribution to Montanans for Nonpartisan Courts ballot issue committee,,,,,,,,,,,GN,,,,2,,,,"112.4 hours of staff time (including salary, benefits, and overhead costs) for management, planning, volunteer coordination, outreach, and communications",N,,,,,,,
ACLU of Montana,expenditure,01/01/2026 to 03/25/2026,C4,2026-03-22 00:00:00,Town Pump,,,,2210 N. Reserve St.,Missoula,MT,59801,,-29.03,,,,,,In-kind contribution to Montanans for Nonpartisan Courts ballot issue committee,,,,,,,,,,,GN,,,,2,,,,Gas for staff travel for presentation,N,,,,,,,
ACLU of Montana,expenditure,10/01/2025 to 12/31/2025,C4,2025-12-31 00:00:00,Montanans for Nonpartisan Courts,,,,PO Box 87,Helena,MT,59624,,-3810.77,,,,,,In-kind contribution to Montanans for Nonpartisan Courts,,,,,,,,,,,GN,,,,2,,,,"66.5 hours of staff time (including salary, benefits, and overhead costs) for management, planning, outreach, communications, and legal",N,,,,,,,
Montanans for Nonpartisan Courts,contribution,03/26/2026 to 04/25/2026,C6,2026-04-25 00:00:00,ACLU of Montana,,,,PO Box 1968,Missoula,MT,59806,,1839.71,,,,6,IK,"41.5 hours of staff time (including salary, benefits, and overhead costs) related to management, volunteer coordination, and signature gathering",21721.36,,,,,N,,,,,,,,Political party contributions,,,,,,,,,,,,,
Montanans for Nonpartisan Courts,contribution,01/01/2026 to 03/25/2026,C6,2026-03-21 00:00:00,ACLU of Montana,,,,PO Box 1968,Missoula,MT,59806,,76.23,,,,6,IK,Rental car for staff travel for presentation,19881.65,,,,,N,,,,,,,,Political party contributions,,,,,,,,,,,,,
Montanans for Nonpartisan Courts,contribution,01/01/2026 to 03/25/2026,C6,2026-03-25 00:00:00,ACLU of Montana,,,,PO Box 1968,Missoula,MT,59806,,5065.87,,,,6,IK,"112.4 hours of staff time (including salary, benefits, and overhead costs) for management, planning, volunteer coordination, outreach, and comms",19881.65,,,,,N,,,,,,,,Political party contributions,,,,,,,,,,,,,
Montanans for Nonpartisan Courts,contribution,01/01/2026 to 03/25/2026,C6,2026-03-22 00:00:00,ACLU of Montana,,,,PO Box 1968,Missoula,MT,59806,,29.03,,,,6,IK,Gas for staff travel for presentation,19881.65,,,,,N,,,,,,,,Political party contributions,,,,,,,,,,,,,
Montanans for Nonpartisan Courts,contribution,01/01/2026 to 03/25/2026,C6,2026-03-12 00:00:00,ACLU of Montana,,,,PO Box 1968,Missoula,MT,59806,,11.95,,,,6,IK,Postage for mailing petition signature packets,19881.65,,,,,N,,,,,,,,Political party contributions,,,,,,,,,,,,,
Montanans for Nonpartisan Courts,contribution,10/01/2025 to 12/31/2025,C6,2025-12-31 00:00:00,ACLU of Montana,,,,PO Box 1968,Missoula,MT,59806,,3810.77,,,,6,IK,"66.5 hours of staff time (including salary, benefits, and overhead costs) for management, planning, outreach, communications, and legal",14698.57,,,,,N,,,,,,,,Political party contributions,,,,,,,,,,,,,
